query,platform,video_id,title,description,channel_title,published_at,tags,views,likes,comments,engagement_score,mention_atomberg,mention_orient,mention_havells,mention_crompton,mention_polycab
energy efficient fan,youtube,wOvKxWUW-yc,Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,,iGadz Unique,2025-02-24T13:50:18Z,,457466,7013,136,493891,False,False,False,False,False
energy efficient fan,youtube,3tfd_RVWtFE,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,"Kühl latest designer ceiling fan with BLDC technology is setting the trend for fancy under light ceiling fans with 8 blades, low noise ...",Sumit Jaiswal - PRONIX,2023-06-08T14:27:12Z,Kent Kühl ceiling fan|Kent Kühl Platin BLDC fan review|Kent designer BLDC ceiling fan|underlight BLDC ceiling fan with remote control|8 blades ceiling fan|wooden finish ceiling fan with down light|low noise|Alexa/Voice Enabled|best ceiling fan for living room|best ceiling fan for drawing room,526644,4906,62,551794,False,False,False,False,False
energy efficient fan,youtube,vIM7Jx036S4,"Atomberg Studio Stainless Steel 150mm BLDC Exhaust Fan | High Speed, Silent &amp; Only Consume 7.5W 🤑","My advice for you, buy only Atomberg BLDC exhaust fans available in 150mm, 200mm & 250mm sizes (if you can spend extra ...",Sumit Jaiswal - PRONIX,2021-12-02T13:43:34Z,atomberg studio stainless steel|atomberg stainless steel exhaust fan review|bldc exhaust fan review|best bldc atomberg exhaust fan|atomberg 6 inch ventilation fan|round exhaust fan review|small exhaust fan review|designer exhaust fan|round exhaust fan with shutter flaps|high speed exhaust fan 150mm|designer exhaust fan for bedroom|kitchen exhaust fan|bathroom exhaust fan|toilet exhaust fan,2110245,12773,101,2175120,True,False,False,False,False
energy efficient fan,youtube,u_kxhHjHln0,Atomberg Renesa 1400mm,Atomberg Renesa 1400mm mrp 3850 on atomberg website.,AMARDEEP Toor,2022-05-04T17:45:33Z,,3179273,30697,380,3336558,True,False,False,False,False
energy efficient fan,youtube,ljEOQMuFYw0,Air Circulators vs Traditional Fans [WHICH One is BETTER?],Got HVAC problems? Click here to get in touch with local pros https://homecaprice.com/hvac-technician/ Products ...,Home Caprice,2023-05-29T11:36:24Z,,134410,812,73,139200,False,False,False,False,False
energy efficient fan,youtube,zoJRIKAvfeI,Top 5 Ceiling Fan in India 2025 🔥 Best Ceiling Fan Under 1500 🔥 Budget Fans 🔥 Mr Known,Bajaj Frore https://amzn.to/4aJIwkx ✓Crompton SUREBREEZE https://amzn.to/3Q3BGwu ✓Orient Electric Apex ...,MR KNOWN,2025-02-12T15:00:01Z,best ceiling fan|Best Ceiling Fan 2025 In India|Top 5 best ceiling fan|top 5 best ceiling fan in india 2025|top 5 fans in india|atomberg ceiling fan|best ceiling fan 2025|best ceiling fan for home|best ceiling fan for living room|best ceiling fan in india|best ceiling fan in india 2025|best ceiling fan under 1500|best ceiling fans 2025|best ceiling fans for bedroom|best ceiling fans for home|ceiling fan|ceiling fan best|ceiling fan under 1500|ceiling fans,172865,1310,58,179995,True,True,False,True,False
energy efficient fan,youtube,QAYhWY270MM,Watch Before you Buy A New Best BLDC Fan in 2024,Free Call Consultation: https://bit.ly/SumitYPFConsult Important Videos     ▷ Ceiling Fan Playlist  : https://bit.ly/EtaFan OR ...,SumitYPF,2024-01-25T08:40:08Z,best bldc ceiling fan in india 2024|best bldc ceiling fan in india|best bldc fan in india|best bldc fan under 3000|best bldc ceiling fan|bldc ceiling fan with remote|bldc ceiling fan price in india|top 5 bldc ceiling fan|best ceiling fan under 3000|best ceiling fan|best bldc fan|best bldc fan 2024|best bldc fan 2024 in india|best bldc fan under 3500|top bldc fan in indiatop bldc fan in india|best bldc fan under 2500|best bldc fan under 2000,133132,1240,15,139482,False,False,False,False,False
energy efficient fan,youtube,dunp92Exhqg,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control.. #smartfan #atomberg #remoteconteol ...,AJAY light Decoration,2024-08-23T16:26:54Z,atomberg fans|atomberg rensa plus bldc fan|best ceiling fan|best ceiling fan brands|best ceiling fan in india|bldc ceiling fan|bldc fan|bldc motor|ceiling fan installation|ceiling fan review|ceiling fan with remote|ceiling fans|dc motor|fan|fans|gadget shorts|home assistant|home automation ideas|remote control|remote fan|shorts|smart ceiling fan|smart fan|smart home|smart home automation|smart home gadgets|smart home ideas|smart home solver,284502,2052,32,295082,True,False,False,False,False
energy efficient fan,youtube,XhfpqLn0mlg,Atomberg Renesa Enzel 1200mm BLDC Ceiling fan #viral #youtubeshorts #atomberg #amazon #kerala,Product Link: https://amzn.in/d/ekS84W8.,SNN Vlogs 🎥,2024-09-05T08:09:03Z,,118154,925,21,122989,True,False,False,False,False
energy efficient fan,youtube,NOOnVYNBa6g,This Fan Saves More Energy ⚡ | Superfan Super X1 #Shorts #EnergySaver,Superfan Super X1 – the 5-star rated ceiling fan that gives you super air with super savings. Key Features: Consumes less ...,Superfan Ceiling Fan,2025-07-08T09:18:29Z,superfan super x1|saves more energy fan|low power ceiling fan|5 star energy efficient fan|energy saving ceiling fan india|best fan to save power|modern silent fan|low electricity fan|stylish home fan|superfan ceiling fan|best ceiling fan for home,4532,39,0,4727,False,False,False,False,False
energy efficient fan,youtube,oGUB1Qjep6A,Oasis Fan Light Energy-saving Led Ceiling Fan 🪩 #fanlight #ceilingfan #fanenergy #shorts,Oasis Fan Light Energy-saving Led Ceiling Fan #fanlight #ceilingfan #shortsviral #fanenergy #shorts #beautifulfans #bigfan ...,TokTak Gadget,2025-03-25T13:00:31Z,ceiling fan with light|ceiling fans|ceiling fan|ceiling fans with light|enclosed ceiling fans with light|best ceiling fan with light|modern ceiling fans with lights|ceiling fans with lights|enclosed ceiling fans with lights|best ceiling fans with lights|5 best ceiling fans with lights|5 best ceiling fans with lights 2022|best ceiling fans|best ceiling fans with bright lights|ceiling fan installation|ceiling fan light|led ceiling lights|ceiling fan height,34169,197,0,35154,False,False,False,False,False
energy efficient fan,youtube,cjIOnluLXAk,Crompton SUREBREEZE SEA SAPPHIRA 1200 mm Ceiling Fan for Home | BEE Star Rated Energy Efficient Fan,Product details Amazon link: https://amzn.to/4gGSzZM Flipkart link: https://fktr.in/M4SlHpY Crompton SUREBREEZE SEA ...,Wenodh,2025-01-21T04:30:17Z,Crompton SureBreeze SEA Sapphira Ceiling Fan|1200mm Ceiling Fan for Home|BEE Star Rated Energy Efficient Fan|High-Speed Ceiling Fan|Superior Air Delivery Fan|Lustre Brown Ceiling Fan|Crompton Ceiling Fan with 2 Years Warranty|Energy Saving Ceiling Fan|Durable Ceiling Fan for Home and Office|Stylish Brown Ceiling Fan|Crompton SureBreeze 1200mm Ceiling Fan|High Performance Ceiling Fan|Pack of 1 Ceiling Fan|Modern Design Ceiling Fan|Crompton Energy Efficient Fan,11860,100,5,12410,False,False,False,True,False
energy efficient fan,youtube,ExKAeZEAR0U,"MeacoFan 1056 Air Circulator - super quiet, energy efficient fan | QVCUK","This Air Circulator Fan from Meaco features a super quiet, energy efficient design with a sleek spherical shape and multiple ...",QVCUK,2025-04-30T15:53:51Z,QVC|QVCUK|Meaco|Fan,3371,10,6,3481,False,False,False,False,False
